pat_no,claim_no,claim_txt,dependencies,ind_flg,appl_id
3930276,3,"3. In a vehicle wheel washing device for use with an endless vehicle conveyor of the type having an upper forwardly moving conveying run and a lower return run and having spaced pusher arms arranged and adapted to project upwardly, while in the upper run, through a slot extending along a wheel passageway located above the upper run for engaging the back of vehicle wheels occupying the passageway to forwardly propel such wheels, a support frame, two opposed projecting sets of parallel horizontal rollers journal mounted on said frame and having their projecting ends spaced apart to define a travel path between said sets for passage of such pusher arms, drive means on the frame for rotating the rollers in one of said sets in a given rotational direction opposite to that of a wheel when pushed over the rollers by such a pusher arm, guide means in the frame beneath said sets of rollers for guiding such an endless conveyor and wheel scrubbing means on the frame arranged and adapted to engage the side of a wheel moving over said sets of rollers.",,1,
3930276,2,"2. In a vehicle washing device, a passageway for a vehicle wheel having a slot therealong, an endless conveyor beneath the passageway having a pusher arm adapted to project upwardly through said slot and engage a vehicle wheel occupying the passageway to roll it along the passageway responsive to operation of the conveyor, transverse rollers in the passageway on opposite sides of said slot, means for rotating some of said rollers such that a vehicle wheel pushed by said arm will be rotated faster by such rollers than the rolling speed induced by the pusher arm, wheel scrubbing means on one side of said passageway arranged and adapted to engage the respective side of a wheel while it is rotated by the rollers.",,1,
3930276,12,"12. A vehicle wheel washing device comprising,means forming a passageway along which wheels of one side of a car may be rolled, a slot located in said passageway, conveyor means beneath the passageway having a pusher means adapted to project upwardly through said slot and engage a vehicle wheel occupying the passageway to roll it along said passageway responsive to operation of the conveyor, wheel spinning means located in the passageway on opposite sides of said slot adapted to engage and rotate said vehicle wheel so that said wheel is moved faster by said spinning means than by said conveyor means, wheel scrubbing means on one side of said passageway arranged and adapted to engage the respective side of said wheel when it is rotated by the wheel spinning means.",,1,
3930276,8,"8. A device according to claim 4 in which said wheel pushing means has optimal active and inactive positions while in said upper run, said wheel pushing means being entirely located beneath said slot while in inactive position moving along said upper run.",4,0,
3930276,9,9. A device according to claim 4 in which deflecting means in the region of said wheel-spinning means constantly downwardly deflects said upper run.,4,0,
3930276,4,"4. In a vehicle washing device, a travel path for the wheels on one side of a wheeled vehicle, said path being partly defined by wheel-spinning means and having a slot along its length including the portion thereof defined by said wheel-spinning means, endless conveyor means beneath said travel path having an upper conveying run and including wheel pushing means having an active position projecting upwardly through said slot while moving along said upper run, and wheel scrubbing means in the region of said wheel-spinning means movable into and out of wheel scrubbing position.",,1,
3930276,6,"6. A device according to claim 4 in which said travel path has guide rails defining the portions of said slot endwise of said wheel-spinning means, first guide roller means on said wheel pushing means always engaging the underside of said guide rails while the wheel pushing means travels through said portions of the slot, and deflecting guide means in the region of said wheel-spinning means deflecting said upper run downwardly in said region by engagement therewith by said first guide roller means.",4,0,
3930277,2,2. The device of claim 1 in which said plate means includes a flat plate.,1,0,
3930277,3,3. The device of claim 2 in which said plate is pivotally mounted on the edge on the chassis.,2,0,
3930277,6,"6. In a floor sweeper having a rotatable cylindrical brush mounted on a mobile chassis, lever and rod means for raising and lowering said brush, means associated with said lever and rod means for adjustably moving one end portion of said brush relative to the other end, the improvement in said associated means, said improvement includinga. said means associated with said lever and rod means including first and second rod members in axial alignment and carried by said mobile chassis,b. a second arm rigidly secured to said second rod means at the inner end,c. said second rod rigidly secured at the outer end tod. a second bar connected to said brush,e. a first arm rigidly secured to said first rod means at the inner end,f. said first rod rigidly secured at the outer end to,g. a first bar connected to said brush,h. means for changing the relative positions of said second and first arms to cause the end portion of said brush connected to said first bar to move relative to the chassis.",,1,
3930277,7,7. The device of claim 6 in which said means for changing the relative positions of said second and first arms includesa. a screw member mounted on said first arm in engagement withb. an extension bar on said second arm.,6,0,
3930277,5,5. The device of claim 4 in which said plate means includes a single flat plate.,4,0,
3930277,1,"1. In a floor sweeper having a rotatable cylindrical brush mounted on a mobile chassis, a receiver for receiving debris delivered from said brush, means for raising and lowering said brush, a plate adjacent said brush for the direction of debris, the improvement in said plate said improvement includinga. plate means carried by said sweeper and adjacent said brush, andb. means for moving said plate means relative to said brush as said brush is moved relative to said chassis whereby the plate means maintains the same position relative to the brush,said means for moving said plate means including link means connected to said plate means and said means for raising and lowering said brush whereby the plate means automatically moves relative to the brush when the brush is raised and lowered.",,1,
3930277,4,"4. In a floor sweeper having a rotatable cylindrical brush mounted on a mobile chassis comprising in combination:a. means for raising and lowering said brush relative to the chassis,b. plate means,c. means pivotally mounting said plate means on said chassis, adjacent said brush,d. lever means connecting said plate means with said means for raising and lowering said brush whereby the plate means follows the brush as it is raised and lowered, andf. means for adjustably positioning one end of said brush relative to the chassis.",,1,
3930278,1,"1. A device in combination with a paintbrush having a flat handle with an enlarged bristle engaging portion to assist in forming straight uniform edges at the interface of intersecting surfaces and allow application of paint to the intended surface while preventing unintended smearing of paint on the other surface said device comprising,a flat sheet of material having an elongated central portion with an enlarged coplanar foot portion depending from one end thereof,said foot portion having a straight bottom edge disposed at an acute angle with respect to the longitudinal axis of said central portion,and a pair of bendable positionable resilient tab members extending transversely from the opposite sides of said central portion at a location spaced from said foot portion and spaced from the opposite end of the central portion,said tab members being bendable to a parallel configuration normal to the central portion to engage opposite sides of the enlarged bristle engaging portion of the handle and maintain the central portion and foot disposed along the edge of the bristles to act as an edge guide and a shield against unintended smearing while maintaining both faces of the bristles unobstructed, and with the extension of the central portion acting as an extension arm to pivot the foot out of contact with the bristles to allow for dipping into paint.",,1,
3930278,2,2. The invention as defined in claim 1 wherein said foot portion has a toe at one end thereof extending at an angle with respect to the bottom edge thereof.,1,0,
3930278,4,4. The invention as defined in claim 3 wherein the angle of intersection is approximately 55.degree..,3,0,
3930278,3,3. The invention as defined in claim 1 wherein said bottom edge surface of the foot portion intersects the longitudinal axis of the central portion.,1,0,
3930278,5,5. The invention as defined in claim 1 wherein the sheet material is sheet metal.,1,0,
3930279,1,"1. A resilient blade for use in a windshield wiper assembly, said assembly including a rocker arm carrying spaced apart clamps for gripping the blade at longitudinally spaced points on the blade, said blade comprising:a. a back portion adapted to be accommodated within the clamps,b. an edge portion adapted to contact a windshield,c. a narrow intermediate portion between said back and edge portions defining a hinge along which said edge portion can pivot with respect to said back portion,d. a portion of generally triangular cross-sectional shape between said edge portion and said intermediate portion which thickens from said edge portion toward said intermediate portion, ande. cavities in said triangular portion only at points laterally aligned with the points at which the clamps grip said back portion, said triangular portion being of full thickness in the longitudinal regions between said cavities.",,1,
3930279,2,2. A resilient blade as defined in claim 1 wherein said cavities are located on both longitudinal sides of said triangular portion.,1,0,
3930280,5,"5. The insert of claim 4 wherein each said buttress includes a central ridge along said incline with tapered surfaces extending on each side of said central ridge to said tubular frame, said central ridges and said tapered surfaces cooperating to align the combs of the applicator with said radial slits.",4,0,05483694
3930280,15,"15. An insert for sealing between a reservoir assembly and an applicator of a product container and for providing a wiping action over cylindrically wiped applicators and noncylindrically wiped comb type applicators, said insert being fabricated of elastic material and comprising:a tubular frame having a longitudinal axis;a wiping diaphragm disposed across said tubular frame between the longitudinal ends thereof, said diaphragm having an aperture disposed therethrough and indentations disposed therein, said aperture being concentric about said longitudinal axis with said indentations extending radially from the periphery of said aperture, said diaphragm being flexible to expand said aperture in exerting radial forces of equal magnitude concentrically about said longitudinal axis with said indentations concentrating the flexure stresses therein to the point of fracture at which slits develop through said diaphragm along said indentations;buttresses disposed within said tubular frame on both sides of said diaphragm, each said buttress extending from one end of said tubular frame to said diaphragm and having an increasing incline in the direction of said diaphragm, each said indentation being disposed between adjacent buttresses on said diaphragm, each said buttress including a central ridge along said incline with tapered surfaces extending on each side of said central ridge to said tubular frame, said central ridges and said tapered surfaces cooperating to align combs on comb type applicators with said indentations.",,1,05483694
3930280,1,"1. An insert for sealing between a reservoir assembly and an applicator of a product container and for wiping over the applicator therein, said insert being fabricated of elastic material and comprising:a tubular having a longitudinal axis;a wiping diaphragm disposed across said tubular frame between the longitudinal ends thereof, said diaphragm having an aperture disposed therethrough concentrically about said longitudinal axis; anda sealing rim disposed on the external periphery of said tubular frame and at one longitudinal end thereof, said sealing rim having a flat end wall disposed in a radial plane and facing away from said insert and a tapered inner wall disposed longitudinally inwardly of said end wall, whereby said rim is of varying thickness along said longitudinal axis, said varying thickness being of increasing magnitude in a radial direction away from said longitudinal axis, said sealing rim being compressible across said varying thickness within the product container and being distorted therein radially away from said longitudinal axis.",,1,05483694
3930280,14,"14. The insert of claim 12 wherein each said buttress includes a central ridge along said incline with tapered surfaces extending on each side of said central ridge to said tubular frame, said central ridge and said tapered surfaces cooperating to align combs on comb type applicators with said indentations.",12,0,05483694
3930280,9,"9. The insert of claim 8 wherein each said buttress includes a central ridge along said incline with tapered surfaces extending on each side of said central ridge to said tubular frame, said central ridge and said tapered surfaces cooperating to align combs on comb type applicators with said indentations.",8,0,05483694
3930280,13,13. The insert of claim 12 wherein said sealing rim includes a tapered side extending from said tubular frame.,12,0,05483694
3930280,3,"3. The insert of claim 2 wherein each said buttress includes a central ridge along said incline with tapered surfaces extending on each side of said central ridge to said tubular frame, said central ridge and said tapered surfaces cooperating to align the combs of the applicator with said radial slits.",2,0,05483694
3930280,11,"11. The insert of claim 10 wherein each said buttress includes a central ridge along said incline with tapered surfaces extending on each side of said central ridge to said tubular frame, said central ridges and said tapered surfaces cooperating to align combs on comb type applicators with said indentations.",10,0,05483694
3930280,10,10. The insert of claim 8 wherein buttresses are disposed on both sides of said diaphragm.,8,0,05483694
3930280,7,"7. The insert of claim 6 wherein said indentations are triangularly shaped, each said indentation having an apex disposed on the periphery of said aperture and one side disposed perpendicularly across a radial line passing through said apex from said longitudinal axis at a distance therefrom equal to at least the maximum comb height of the comb type applicators.",6,0,05483694
3930280,8,"8. The insert of claim 6 wherein at least one buttress is disposed within the said tubular frame to one side of said diaphragm, each said buttress extending from one end of said tubular frame to said diaphragm and having an increasing incline in the direction of said diaphragm, each said buttress being disposed between adjacent indentations on said diaphragm and precluding passage of comb type applicators through said insert when the combs thereon are misaligned with said indentations.",6,0,05483694
3930280,6,"6. An insert for use within a product container to provide a wiping action over cylindrically wiped applicators and noncylindrically wiped comb type applicators, said insert being fabricated of elastic material and comprising:a tubular frame having a longitudinal axis;a wiping diaphragm disposed across said tubular frame between the longitudinal ends thereof, said diaphragm having an aperture disposed therethrough and indentations disposed therein, said aperture being concentric about said longitudinal axis with said indentations extending radially from the periphery of said aperture, said diaphragm being flexible to expand said aperture in exerting radial forces of equal magnitude concentrically about said longitudinal axis with said indentations concentrating the flexure stresses therein to the point of fracture at which slits develop through said diaphragm along said indentations.",,1,05483694
3930280,2,"2. An insert for use within a product container to wipe comb type applicators and to assure proper alignment therein of such applicators, said insert being fabricated of elastic material and comprising:a tubular frame having a longitudinal axis;a wiping diaphragm disposed across said tubular frame between the longitudinal ends thereof, said diaphragm having an aperture and radial slits disposed therethrough, said aperture being concentric about said longitudinal axis with said radial slits extending from the periphery of said aperture; andat least one buttress disposed within said tubular frame to one side of said diaphragm, each said buttress extending from one end of said tubular frame to said diaphragm and having an increasing incline in the direction of said diaphragm, each said buttress being disposed between adjacent radial slits on said diaphragm and precluding passage of the applicator through said insert when the combs thereon are misaligned with said radial slits.",,1,05483694
3930280,4,4. The insert of claim 2 wherein buttresses are disposed on both sides of said diaphragm.,2,0,05483694
3930280,12,"12. The insert of claim 8 wherein a sealing rim is disposed on the external periphery of said tubular frame and at one longitudinal end thereof, said sealing rim being of varying thickness along said longitudinal axis, said varying thickness being of increasing magnitude in a radial direction away from said longitudinal axis, said sealing rim being compressible across said varying thickness within the product container and being distorted therein radially away from said longitudinal axis.",8,0,05483694
